text,sentiment,confidence
"モイiPhoneからキャス配信中 
",Positive,26.645702123641968
"TheExilesNet LongLiveLupe seen The Studio yet

Im not even 10 minutes in and they already make that film and movie distinction like we do ",Positive,43.88011395931244
huge mint wave on zora top movers zoggles amp zora cola classic high minting action but low sales potential alpha spots with floor starting at 000067 ETH beyond tech charts watch art,Positive,30.84975779056549
"Gonna How do I get the new windows my way into a tech boyfriend who will then become my husband
Also this is a serious question",Negative,31.34092390537262
RT Laerrus811 7SEES_ The AIs body is the tech Its ears and eyes the phones etc We already gave it multiple mobile bodies with cars Th,Positive,23.02663028240204
"Ito yung gusto ko may pila talaga

KIMPAU MOVIE NOW SHOWING 

MLWMYDNowShowing 

MyLoveWillMakeYouDisappear ",Negative,31.802618503570557
RT EricLDaugh BREAKING Mike Waltz announces he spoke with ElonMusk and said tech experts are going to figure out how The Atlantics Jef,Negative,42.800912261009216
"RamiDhruvit1 narendramodi Bhupendrapbjp irushikeshpatel NHMGujarat GujHFWDept MakwanaThakr Guj_Gov_Laboratory_tech_strike
MoHFW_INDIA
ronakABPAsmita
narendramodi
CMOGuj
Bhupendrapbjp
irushikeshpatel
GujHFWDept
Nimishaben_BJP
ikaushikvekaria
ijayeshradadiya
sandeshnews
VtvGujarati
tv9gujarati
MantavyaMedia
Divya_Bhaskar
KanuDesai180
kuberdindor",Negative,39.937183260917664
"Tech for good The finalists for the Spark Best HiTech Solution for the Public Good category are announced 

Congratulations to Elli Cares Hapai Transfer Systems and Optimation 

HTANZ TechForGood NZInnovation  ",Positive,52.36662030220032
"地球儀  米津 玄師　さん　歌いました
歌枠 歌い手 歌ってみた ボカロ
",Positive,38.14229071140289
"RT mkratsios47 Its an honor to serve as Director of the whitehouse Office of Science amp Technology Policy

Advancing American dominance",Positive,44.04883086681366
"RTX5080 is in Stock  Cart Link  
March 25 2025 at 1015PM

ASUS TUF Gaming GeForce RTX  5080 16GB GDDR7 OC Edition Gaming Graphics Card PCIe 50 HDMIDP 21 36Slot MilitaryGrade Components Protective PCB Coating axialtech Fans Vapor C",Positive,24.780850112438202
RT BSquaredNetwork Were excited to announce our partnership with beyond__tech  the pioneering interoperability solution connecting Bit,Positive,47.95374572277069
archiveshailee The first  movie scene that Ill actually be locked in to,Negative,24.81081187725067
"RT MetjahTebogo AD

Ready for a Career Boost

Exciting news Weve got fresh job vacancies on Jobifiy

Are you a tech rockstar or a re",Positive,45.72627246379852
RT Individual1isa1 locution_777 4thDimension111 Windyfurr RMacStanley mmsmall1 Carol_Cook78 MarciaDaughtre1 brucewaynesaunt Miff,Negative,25.758221745491028
"I remember having my  8th birthday party before seeing this movie 

So goated ",Negative,47.31299877166748
"RT MetjahTebogo AD

Ready for a Career Boost

Exciting news Weve got fresh job vacancies on Jobifiy

Are you a tech rockstar or a re",Positive,45.72627246379852
Urkuvelho btchelevent Healthcare costs rise due to new tech admin expenses and chronic diseases from lifestyle Education expenses grow with more admin roles enrollment and high salaries Childcare costs increase from labor intensity safety rules and demand for quality care,Positive,24.457010626792908
"RT Arm What does it take to become a CEO

On the latest Tech Unheard episode aicha2evans joins Rene Haas to share her incredible path",Positive,50.69839358329773
modernhistory The movie name is TRUE LIES,Negative,33.64696800708771
"読売　パワハラ認定
認めるのか

ここは認める
菅野完
",Positive,28.898555040359497
"Apple barred from Google antitrust trial putting 20 billion search deal on the line
Apple
",Negative,79.87892031669617
billionaireOG2 Based on your handle billionaireOG2 you might sound like Elon Musk if your tweets focus on tech and innovation or Joseph Tsai if theyre about esports and business given his G2 Esports tie It depends on your post content,Positive,27.16110646724701
"malaa_tech نعم  



  ملاءة
zelena",Positive,29.19881045818329
ByzantineZealot Based on your tweets you sound like Fr Josiah Trenham an Orthodox priest known for traditional views though your casual fiery tone differs from his formal style Your strong Eastern Orthodox faith and critiques of modern society align with him despite your unique techsavvy,Positive,33.812886476516724
nxyxeony I really want you to watch this part man this movie is so special to me,Positive,83.85090231895447
"RT umaumaoumasan55 325 高知ファイナル
フォローリポストで無料 BOOKERS ",Positive,29.964405298233032
"RT orfbl05290201  大井2r

ここから行きます

得意の形を狙い

ブッカーズ


note
",Positive,31.219482421875
pc_jakhar_osian Movie badiya hai,Positive,26.485970616340637
YasmeenInd The movies box office performance was considered average,Positive,47.80271053314209
Baabusahaab The dialogues in this movie are witty funny and impossible to forget for Bollywood fans,Positive,27.55971848964691
"RT Galaxylabss  Galaxy Lab DAO  Massive Giveaway 14

 Prize Pool 500 USDT

 How to Participate
Complete the tasks via this link",Positive,61.79218292236328
"RT NZHiTechAwards Meet the rising stars of tech The finalists for the Xero HiTech Young Achiever category are announced 

Congratulati",Positive,59.324586391448975
